inspectionID,tankID,inspectionDate,inspectorName,inspectionCategory,inspectionResult,InspectionType,comments
I_000267,T_000094,4/4/18,Charlotte Smith,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000268,T_000095,10/21/19,Henry Johnson,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000269,T_000095,10/22/19,Evelyn Martinez,Shell,Acceptable,Routine inspection,Check for leaks
I_000270,T_000095,10/23/19,Madison Clark,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000271,T_000096,2/5/19,William Lopez,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000272,T_000096,2/6/19,Amelia Brown,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000273,T_000096,2/7/19,Victoria Hernandez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000274,T_000097,4/28/21,Lucas White,Shell,Acceptable,Routine inspection,Check for leaks
I_000275,T_000097,4/29/21,Joseph Nguyen,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000276,T_000097,4/30/21,Charlotte Smith,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000277,T_000098,7/15/20,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000278,T_000098,7/16/20,Evelyn Martinez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000279,T_000098,7/17/20,Madison Clark,Shell,Acceptable,Routine inspection,Check for leaks
I_000280,T_000099,12/1/18,William Lopez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000281,T_000099,12/2/18,Amelia Brown,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000282,T_000099,12/3/18,Victoria Hernandez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000283,T_000100,10/21/19,Lucas White,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000284,T_000100,10/22/19,Joseph Nguyen,Shell,Acceptable,Routine inspection,Check for leaks
I_000285,T_000100,10/23/19,Charlotte Smith,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000286,T_000001,4/22/19,Henry Johnson,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000287,T_000001,4/22/19,Evelyn Martinez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000288,T_000001,4/22/19,Madison Clark,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000289,T_000002,7/10/20,William Lopez,Shell,Acceptable,Out of order inspection,Check for leaks
I_000290,T_000002,7/10/20,Amelia Brown,Nozzle,Acceptable,Out of order inspection,Inspect nozzle seals
I_000291,T_000002,7/10/20,Victoria Hernandez,Fixed Roof,Acceptable,Out of order inspection,Inspect roof vents
I_000292,T_000003,12/29/21,Lucas White,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000293,T_000003,12/29/21,Joseph Nguyen,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000294,T_000003,12/29/21,Charlotte Smith,Shell,Acceptable,Routine inspection,Check for leaks
I_000295,T_000004,10/14/18,Henry Johnson,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000296,T_000004,10/14/18,Evelyn Martinez,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000297,T_000004,5/3/20,Madison Clark,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000298,T_000005,5/3/20,William Lopez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000299,T_000005,5/3/20,Amelia Brown,Shell,Acceptable,Routine inspection,Check for leaks
I_000300,T_000005,8/19/19,Victoria Hernandez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000301,T_000006,8/19/19,Lucas White,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000302,T_000006,11/9/21,Joseph Nguyen,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000303,T_000006,11/9/21,Charlotte Smith,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000304,T_000007,11/9/21,Henry Johnson,Shell,Acceptable,Routine inspection,Check for leaks
I_000305,T_000007,1/26/21,Evelyn Martinez,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000306,T_000007,1/26/21,Madison Clark,Fixed Roof,Acceptable,Routine inspection,Inspect roof drainage
I_000307,T_000008,6/14/19,William Lopez,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000308,T_000008,6/14/19,Amelia Brown,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000309,T_000008,6/14/19,Victoria Hernandez,Aerial,Acceptable,Routine inspection,Check for leaks
I_000310,T_000009,5/3/20,Lucas White,Nozzle,Acceptable,Out of order inspection,Inspect nozzle seals
I_000311,T_000009,5/3/20,Joseph Nguyen,Fixed Roof,Acceptable,Out of order inspection,Inspect roof vents
I_000312,T_000009,5/3/20,Charlotte Smith,Foundation,Acceptable,Out of order inspection,Inspect for cracks
I_000313,T_000010,4/22/19,Henry Johnson,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000314,T_000010,4/22/19,Evelyn Martinez,Shell,Acceptable,Routine inspection,Check for leaks
I_000315,T_000010,7/10/20,Madison Clark,Nozzle,Acceptable,Routine inspection,Inspect nozzle seals
I_000316,T_000011,7/10/20,William Lopez,Fixed Roof,Acceptable,Routine inspection,Inspect roof vents
I_000317,T_000011,7/10/20,Amelia Brown,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000318,T_000011,12/29/22,Victoria Hernandez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000319,T_000012,12/29/22,Lucas White,Shell,Acceptable,Out of order inspection,Check for leaks
I_000320,T_000012,10/13/20,Joseph Nguyen,Nozzle,Acceptable,Out of order inspection,Inspect nozzle seals
I_000321,T_000012,10/13/20,Charlotte Smith,Fixed Roof,Acceptable,Out of order inspection,Inspect roof drainage
I_000322,T_000013,5/4/21,Henry Johnson,Foundation,Acceptable,Routine inspection,Inspect for cracks
I_000323,T_000013,5/4/21,Evelyn Martinez,Bottom,Acceptable,Routine inspection,Inspect for corrosion
I_000324,T_000013,5/4/21,Madison Clark,Shell,Acceptable,Routine inspection,Check for leaks
I_000325,T_000014,8/19/22,William Lopez,Nozzle,Acceptable,Emergency inspection,Inspect nozzle seals
